zip-code,rebate-usd,lat,lng,median-household-income,mean-household-income,population
54537,88,45.5425273,-90.5937047,40346,49323,561
52065,88,42.6043427,-91.1161166,48166,58112,1130
68757,100,42.6367305,-96.8994495,42674,53014,803
3465,100,42.8314347,-72.1771541,55910,65536,1969
28609,100,35.6811009,-81.0644263,52106,62665,5325
84025,67,40.9698029,-111.9164779,82213,101623,18255
95240,50,38.1484821,-121.1022942,44548,57020,47172
85282,60,33.3897576,-111.9343636,52018,61313,48671
2769,80,41.8331408,-71.263663,90530,106149,10179
26501,100,39.6140631,-80.0311364,38862,50494,19616
50277,88,41.7872353,-94.3667907,58657,76426,483
91914,63,32.6762339,-116.9440313,97574,115610,15448
61749,100,40.080432,-89.1134166,59467,71640,556
97867,100,45.1250282,-117.9915984,44159,54437,791
67576,100,38.0296026,-98.7921836,40326,52685,1915
96792,100,21.4843679,-158.1669894,57792,66680,48519
2878,88,41.6247113,-71.1686168,62530,76645,15257
15742,100,40.8302351,-78.8495889,38879,46671,1029
30575,95,34.2090984,-83.7146001,62303,68111,1375
14737,68,42.316676,-78.4297187,42067,47492,4297
15501,100,40.0084304,-79.0785531,36908,50119,16790
83214,100,42.5407152,-112.262246,50439,58381,671
77504,156,29.6526666,-95.1953554,42992,51762,24529
95746,50,38.743802,-121.1824925,129965,169299,21460
14414,68,42.884902,-77.7680952,56636,67555,6445
40810,100,36.908806,-83.3682539,22115,36110,1548
60148,80,41.8725524,-88.0020589,69888,79039,51468
83221,100,43.3843255,-112.6193088,46201,57635,27021
47990,75,40.0871652,-87.0424393,61664,70899,1627
74839,100,35.2199272,-96.0044121,28825,35938,812
44147,88,41.33031,-81.6802054,77458,91028,15984
42076,100,36.5722445,-88.0705319,41347,47828,1213
98257,88,48.4185616,-122.5142829,55632,67375,4134
63432,100,40.5156826,-92.0077316,46414,52349,513
43772,69,39.8867236,-81.5267282,46469,53580,1799
43078,79,40.1025817,-83.804868,46687,59432,20870
68527,110,40.8450164,-96.5249759,71915,87192,616
11429,92,40.7078289,-73.7389596,72714,82273,27816
42276,100,36.848859,-86.8822445,35113,47251,14471
87052,100,35.5247952,-106.287521,38587,44719,3138
48217,83,42.2827426,-83.1488186,30728,38663,10515
90621,83,33.8794822,-117.9893301,55410,71359,35153
46312,45,41.6428269,-87.4504888,31199,40088,29698
38925,100,33.6394461,-89.6439924,35654,43681,2501
29113,100,33.4229886,-81.1306391,35421,43030,1618
74469,100,35.4815894,-95.3207069,30404,46448,2446
55331,75,44.8963961,-93.6116494,103635,153245,17967
30680,95,34.0142667,-83.6986568,48674,57889,37837
41016,100,39.0868695,-84.5458072,39644,53953,6075
23061,100,37.4128281,-76.5025742,63002,71700,21208
89704,100,39.2808403,-119.8120795,74668,94938,4284
5468,100,44.6620891,-73.1240103,66199,70944,12942
45846,75,40.4142389,-84.7524482,56270,64003,4234
19119,100,40.0487466,-75.1953934,55275,78180,29026
74965,100,35.9787333,-94.6243751,32098,40567,4993
60950,80,41.2397569,-87.7960067,63820,68799,12168
68927,100,40.6002477,-99.5896043,51121,59928,1275
56673,100,48.8671645,-95.1231313,45175,58659,851
12487,55,41.8623834,-73.9947563,66903,83707,3246
12457,65,42.0343868,-74.2531465,50272,71756,877
71483,100,31.9196124,-92.6586401,31197,41993,11294
26217,100,38.5643672,-80.4445671,30094,40647,354
30214,95,33.473501,-84.5012435,73168,88987,28913
49125,83,41.8989487,-86.5905371,44968,63382,2444
